Unnamed: 0,guest_email,has_rewards,room_type,amenities_fee,checkin_date,checkout_date,room_rate,billing_address,credit_card_number,Nomor_Alamat,Kota,Negara_Bagian,Kode_Pos
41,bobbyreid@example.com,False,BASIC,18.394336681593607,10 Jun 2020,16 Jun 2020,83.8,"52701 Rivera Light
Fergusonberg, VA 38797",3546804356032185,52701 Rivera Light,Fergusonberg,VA,38797
42,jeannephillips@example.com,False,BASIC,10.014033082868064,21 Apr 2020,30 Apr 2020,173.42949043134135,"17570 Cameron Brooks
West Jamestown, AZ 23474",4063108163874364749,17570 Cameron Brooks,West Jamestown,AZ,23474
43,latoya51@example.org,True,DELUXE,14.70248781451853,30 May 2020,21 Jun 2020,199.79482576525925,"722 Kristine Dam Apt. 241
East Josephport, IN 63844",340691490658064,722 Kristine Dam Apt. 241,East Josephport,IN,63844
44,duncanmegan@example.net,False,BASIC,5.856027192314013,28 Mar 2020,01 Mar 2020,95.682897013096,"638 Carl Key Suite 772
Port Davidstad, SC 89286",6597769486721653,638 Carl Key Suite 772,Port Davidstad,SC,89286
45,gabriel70@example.net,False,BASIC,25.135524051803262,22 Oct 2020,07 Nov 2020,83.8,"5559 Hanson Locks Apt. 587
Flemingville, CO 41773",30135155814500,5559 Hanson Locks Apt. 587,Flemingville,CO,41773
46,floreskristine@example.org,False,BASIC,,19 Jun 2020,17 May 2020,189.65282750485775,"733 Parks Drive
North Craigchester, RI 13999",6011819510591131,733 Parks Drive,North Craigchester,RI,13999
47,lydiabenjamin@example.net,True,BASIC,11.762569063602582,26 Jul 2020,28 Jun 2020,187.75059563752257,"44714 Rice Meadows
North Valerieshire, WA 22276",501891404730,44714 Rice Meadows,North Valerieshire,WA,22276
48,gcarroll@example.com,False,BASIC,2.54864466972921,30 Apr 2020,14 Apr 2020,122.76723687610748,"USS Pratt
FPO AE 22971",4129712498313,USS Pratt,FPO AE 22971,,
49,jorge85@example.org,False,BASIC,24.767535121749717,30 Jun 2020,19 Jun 2020,173.82280469348834,"779 Logan Fall
East Joshuaport, SC 93541",4911043735166894,779 Logan Fall,East Joshuaport,SC,93541
50,olsensharon@example.net,False,BASIC,30.78249433531144,16 Mar 2020,28 Apr 2020,162.59865746377554,"996 Krista Spurs
Port Brandonfort, HI 20058",3555668582375207,996 Krista Spurs,Port Brandonfort,HI,20058
51,dschmidt@example.org,False,BASIC,18.01008325129759,25 Jul 2020,18 Jul 2020,134.6598575827657,"58622 Andre Locks
North Daniellechester, IL 66296",213158615508396,58622 Andre Locks,North Daniellechester,IL,66296
52,elizabethgutierrez@example.com,False,BASIC,23.61393624382643,14 Aug 2020,13 Jul 2020,119.48963139659853,"769 Kelly Row Apt. 628
Lake Jasonchester, WY 62771",4718716188915439,769 Kelly Row Apt. 628,Lake Jasonchester,WY,62771
53,sanchezangela@example.net,False,BASIC,22.764133787052018,14 Dec 2020,15 Nov 2020,180.07072082326258,"745 Mcdonald Mill Suite 610
Rivasstad, WI 25603",371872392770288,745 Mcdonald Mill Suite 610,Rivasstad,WI,25603
54,vanessaacevedo@example.org,False,BASIC,9.935249945060182,28 Dec 2020,12 Jan 2021,83.8,"0890 Morrow Ford
East Michele, VT 85148",345637248311683,0890 Morrow Ford,East Michele,VT,85148
55,ericalandry@example.org,False,BASIC,,14 Jun 2020,25 May 2020,185.12022286488576,"USCGC Guzman
FPO AP 63424",3534351797560220,USCGC Guzman,FPO AP 63424,,
56,ramossamuel@example.org,False,BASIC,7.611819752718773,20 Nov 2020,06 Nov 2020,180.9847674996257,"00990 Franklin Squares
Aaronport, NH 31375",30067736569503,00990 Franklin Squares,Aaronport,NH,31375
57,pclark@example.net,False,DELUXE,16.15095643450522,06 Aug 2020,14 Jul 2020,192.8029137549981,"16152 Cannon Village
Deborahborough, WI 42843",3568246387273375,16152 Cannon Village,Deborahborough,WI,42843
58,hayesjeffery@example.net,True,BASIC,28.51940030165652,03 Nov 2020,05 Nov 2020,218.1041234008531,"81818 Smith Crest
East Aaron, IL 69477",3524466883698569,81818 Smith Crest,East Aaron,IL,69477
59,julie49@example.com,False,BASIC,35.00063812395031,06 May 2020,07 May 2020,254.7726156175105,"99974 Deanna Coves Suite 047
Nguyenside, MI 12556",639074650834,99974 Deanna Coves Suite 047,Nguyenside,MI,12556
60,caitlincasey@example.com,True,BASIC,4.113765525442025,25 Nov 2020,03 Nov 2020,131.50023314187146,"241 Kayla Cape
Jonstad, NJ 68021",3589934248488903,241 Kayla Cape,Jonstad,NJ,68021
61,justincervantes@example.org,False,BASIC,20.95688809874643,19 Jun 2020,22 Jun 2020,158.94193753173764,"5653 Donna Walk
West Devinburgh, CO 56465",36541279345160,5653 Donna Walk,West Devinburgh,CO,56465
62,robert27@example.com,False,BASIC,17.965262586473642,31 Oct 2020,09 Sep 2020,150.42107136622812,"0597 Mullins Ridges Suite 220
Ambermouth, WV 55387",6510029831388441,0597 Mullins Ridges Suite 220,Ambermouth,WV,55387
63,matthewlamb@example.com,False,BASIC,,18 Apr 2020,07 Apr 2020,127.20410599809684,"327 Murillo Lakes
Amandahaven, MA 67775",3560790999943816,327 Murillo Lakes,Amandahaven,MA,67775
64,amoyer@example.com,False,BASIC,18.30422907587336,23 May 2020,02 Jun 2020,127.67508126055397,"680 Cristina Inlet
West Margaretville, MA 36137",213171770647065,680 Cristina Inlet,West Margaretville,MA,36137
65,jrobinson@example.net,True,BASIC,23.006719789452664,05 Aug 2020,17 Jul 2020,154.54123935678854,"2647 Hall Streets Suite 724
East Tracy, CA 99926",2266719808278444,2647 Hall Streets Suite 724,East Tracy,CA,99926
66,thompsonsamantha@example.org,False,BASIC,14.120706820223251,13 Dec 2019,01 Mar 2020,162.5081120901533,"28584 Lester Terrace Apt. 369
Aguilarmouth, CO 77472",3571618979866474,28584 Lester Terrace Apt. 369,Aguilarmouth,CO,77472
67,wdavidson@example.com,False,BASIC,5.803736585527558,14 Aug 2020,20 Aug 2020,138.74985455492606,"0194 Carmen Gateway
Timothyhaven, VA 61512",4144996563062849794,0194 Carmen Gateway,Timothyhaven,VA,61512
68,druiz@example.com,True,DELUXE,25.625672540884125,24 Jun 2020,10 Jul 2020,260.54675801247674,"1235 Rose Expressway
North Ashleyshire, NJ 67170",3559931786412390,1235 Rose Expressway,North Ashleyshire,NJ,67170
69,baileyhoward@example.com,False,BASIC,26.40239133870801,22 Aug 2020,12 Jul 2020,151.14112455514154,"55959 Williams Stream Apt. 137
Davisport, GA 03224",374845103488413,55959 Williams Stream Apt. 137,Davisport,GA,03224
70,smiller@example.com,False,BASIC,28.12237351822884,27 Jul 2020,11 Aug 2020,83.8,"32024 Tiffany Ridges Apt. 398
Sullivanfort, MO 36014",3539822481701135,32024 Tiffany Ridges Apt. 398,Sullivanfort,MO,36014
71,lindsey88@example.com,True,BASIC,,26 Feb 2020,10 Feb 2020,194.69336019983385,"27639 Steven Greens
Heatherfort, HI 72118",3566515327829948,27639 Steven Greens,Heatherfort,HI,72118
72,jmcconnell@example.com,True,BASIC,11.538123454655675,21 Sep 2019,28 Sep 2019,83.8,"716 Jodi Heights
Williamshaven, SC 51945",4227426144617853509,716 Jodi Heights,Williamshaven,SC,51945
73,kimberly45@example.org,False,BASIC,,16 Mar 2020,17 Mar 2020,229.20389603642295,"USCGC Martin
FPO AP 27406",213106284869797,USCGC Martin,FPO AP 27406,,
74,amanda81@example.com,False,BASIC,,25 Aug 2020,19 Aug 2020,83.8,"432 Dixon Heights Apt. 395
Suzannemouth, NC 82943",30367648593397,432 Dixon Heights Apt. 395,Suzannemouth,NC,82943
75,melissamcintosh@example.com,False,BASIC,28.52649982190158,22 Jun 2020,28 Jul 2020,172.80782248341677,"96595 Johnson Estate
Port William, WA 83433",36758350709037,96595 Johnson Estate,Port William,WA,83433
76,urobertson@example.net,False,BASIC,17.69659739118876,17 Jun 2020,27 May 2020,173.38654167102703,"PSC 4556, Box 3667
APO AP 36790",4515909538160,"PSC 4556, Box 3667",APO AP 36790,,
77,payala@example.com,True,BASIC,0.0,08 Apr 2021,10 Apr 2021,83.8,"415 Moore Terrace Apt. 648
Tamaraburgh, TN 38949",2223282089214739,415 Moore Terrace Apt. 648,Tamaraburgh,TN,38949
78,adamslaura@example.net,False,BASIC,18.375787908544037,27 Sep 2020,16 Oct 2020,91.27906362673724,"72058 Roberts Park Suite 875
West Darrell, CA 10432",4460822889639011505,72058 Roberts Park Suite 875,West Darrell,CA,10432
79,nicholas86@example.com,False,DELUXE,15.45292748893656,03 Jun 2020,11 Jul 2020,187.8003773467507,"45077 Campbell Isle
Jasonton, RI 39979",30417835823568,45077 Campbell Isle,Jasonton,RI,39979
80,kevin21@example.org,False,BASIC,34.965680418489775,11 Oct 2020,15 Oct 2020,155.8910431830558,"382 Hall Crescent
East Jeffland, TN 63236",4222113113118,382 Hall Crescent,East Jeffland,TN,63236
81,warnerkristopher@example.org,False,BASIC,33.15417035119705,12 Mar 2020,08 Mar 2020,120.08989472172232,"3919 Jimenez Harbors
Petersenborough, PA 40100",3536276868075212,3919 Jimenez Harbors,Petersenborough,PA,40100
82,oliviaking@example.org,False,BASIC,38.06280185748995,05 Apr 2020,02 Apr 2020,135.02292575068606,"3459 Nichols Curve
Steeleton, MO 59977",375220347074495,3459 Nichols Curve,Steeleton,MO,59977
83,bryanphelps@example.net,False,BASIC,15.477445638520887,10 May 2020,,83.8,"21570 Susan Club Suite 425
Aaronmouth, AR 70704",3520597526806575,21570 Susan Club Suite 425,Aaronmouth,AR,70704
84,michelewright@example.com,True,BASIC,3.793805088775402,28 Feb 2021,10 Mar 2021,165.34220925547135,"USS Finley
FPO AA 79584",5311426893134544,USS Finley,FPO AA 79584,,
85,kyledudley@example.org,True,BASIC,7.109514555074556,10 Feb 2021,29 Jan 2021,149.2172664477961,"32256 Warren Stravenue Apt. 948
North Carolineberg, KS 91588",4615637666614936,32256 Warren Stravenue Apt. 948,North Carolineberg,KS,91588
86,helenwilson@example.org,False,BASIC,5.414619462138157,12 Jul 2020,03 Aug 2020,118.39688257717197,"USCGC Thomas
FPO AP 07602",4066160305102460611,USCGC Thomas,FPO AP 07602,,
87,alvarezalice@example.net,False,BASIC,26.938508295822373,12 Nov 2020,05 Nov 2020,192.03402829070197,"671 Cross Track Apt. 314
South Katherinehaven, CT 13187",3537982681670662,671 Cross Track Apt. 314,South Katherinehaven,CT,13187
88,nkelly@example.com,False,BASIC,37.13920075092304,13 Aug 2020,18 Aug 2020,83.8,"6643 Sean Summit
Terryville, IL 30212",3535362487378640,6643 Sean Summit,Terryville,IL,30212
89,owallace@example.net,False,BASIC,22.45579622892221,23 Feb 2020,06 Mar 2020,121.2174452026681,"93121 Herman Mountains
Port Sarah, PA 05152",3572989758679308,93121 Herman Mountains,Port Sarah,PA,05152
90,donaldsontina@example.com,False,BASIC,28.20457252039417,04 Feb 2020,11 Feb 2020,83.8,"49752 Terry Island Suite 079
Lake Terriland, CA 79323",3539675343935758,49752 Terry Island Suite 079,Lake Terriland,CA,79323
91,dmatthews@example.net,False,BASIC,2.744855492281804,27 Jul 2020,11 Aug 2020,143.39983906025617,"436 Ricardo Trail
Danielchester, OR 26069",676392064587,436 Ricardo Trail,Danielchester,OR,26069
92,michelewalters@example.org,False,BASIC,5.093869832599513,25 Jul 2020,19 Jul 2020,152.99636295122048,"06729 James Neck
Floreshaven, ID 78934",4477082823226,06729 James Neck,Floreshaven,ID,78934
93,egonzales@example.com,False,BASIC,0.4658966479324071,23 Aug 2020,21 Sep 2020,83.8,"994 Arroyo Route
South Dylanfort, VT 46489",4916690815636835,994 Arroyo Route,South Dylanfort,VT,46489
94,patrick66@example.com,False,BASIC,19.78883840203608,22 Sep 2020,24 Aug 2020,128.23036872751385,"USNV Reyes
FPO AP 83142",4301565592711485,USNV Reyes,FPO AP 83142,,
95,lynnjohnson@example.org,True,BASIC,0.0,06 Aug 2020,10 Jul 2020,190.23586795484056,"PSC 7870, Box 2795
APO AP 11164",370346538790667,"PSC 7870, Box 2795",APO AP 11164,,
96,omartin@example.org,False,BASIC,26.544954447768227,14 Oct 2020,04 Oct 2020,199.3017156898384,"591 Lee Garden Apt. 268
Theresafort, DC 97203",503839312066,591 Lee Garden Apt. 268,Theresafort,DC,97203
97,meghanharrington@example.com,False,BASIC,24.915051200619367,13 Apr 2020,12 Mar 2020,130.11640004601435,"PSC 3709, Box 4618
APO AP 67555",4045519176177036,"PSC 3709, Box 4618",APO AP 67555,,
98,garydavid@example.net,False,BASIC,29.10348791229644,08 Dec 2020,26 Dec 2020,154.07775107186794,"481 Daniel Coves
East Ambershire, NV 38036",566554083360,481 Daniel Coves,East Ambershire,NV,38036
99,emily36@example.com,False,BASIC,17.123983918527678,16 Apr 2020,01 Jun 2020,83.8,"248 Susan Inlet
Rebeccaview, WY 64405",3543464185103468,248 Susan Inlet,Rebeccaview,WY,64405
100,shawn99@example.com,False,BASIC,11.939360623765722,27 Jan 2021,15 Jan 2021,183.90663856441853,"198 Owens Crossing Suite 283
Bradymouth, VA 81921",213195996696127,198 Owens Crossing Suite 283,Bradymouth,VA,81921
101,ihuffman@example.com,False,BASIC,,06 Dec 2020,02 Dec 2020,104.7764306363702,"397 Abigail Lights
Lake Russell, CT 43830",4797093166459,397 Abigail Lights,Lake Russell,CT,43830
102,hwaller@example.com,True,DELUXE,12.879106747853342,03 Sep 2020,20 Aug 2020,298.2997393238861,"6782 Adam Club
Jordanside, KS 88042",3523597598128160,6782 Adam Club,Jordanside,KS,88042
103,larsenjessica@example.com,True,BASIC,32.90435715502493,05 Mar 2020,13 Apr 2020,152.43068405042325,"5715 Cathy Courts Apt. 319
North Rachel, AZ 38485",379335951039232,5715 Cathy Courts Apt. 319,North Rachel,AZ,38485
104,romanmonica@example.org,False,BASIC,40.20999924663576,17 Aug 2020,09 Sep 2020,114.22623958296322,"4547 Macdonald Isle Apt. 409
East Danielberg, DE 92664",6011815474809097,4547 Macdonald Isle Apt. 409,East Danielberg,DE,92664
105,steven96@example.org,False,BASIC,3.1131030934786974,13 Apr 2020,04 May 2020,155.6952583832529,"5838 Gregory Court Apt. 825
North Jasonfurt, ME 60019",213145436399683,5838 Gregory Court Apt. 825,North Jasonfurt,ME,60019
106,brittneyrose@example.com,False,BASIC,16.744276657379746,08 Nov 2020,23 Nov 2020,112.51884944923262,"58492 Edwards Expressway Suite 938
Estradachester, OK 63752",4924262139097,58492 Edwards Expressway Suite 938,Estradachester,OK,63752
107,katherinewilson@example.com,False,BASIC,,22 Oct 2020,15 Nov 2020,152.88772468631282,"11449 Bird Freeway
Thomasmouth, AR 90013",4264359839462887,11449 Bird Freeway,Thomasmouth,AR,90013
108,ramirezroy@example.org,False,DELUXE,15.01830428937592,07 Aug 2020,29 Jul 2020,249.8828290439376,"09628 Victoria Loaf Apt. 403
North Amy, MO 88392",30247222307549,09628 Victoria Loaf Apt. 403,North Amy,MO,88392
109,patrickangela@example.org,False,BASIC,35.41711913153377,27 Jan 2020,29 Jan 2020,192.96848662326695,"18015 Mccarthy Garden Suite 514
Port Christophermouth, UT 97615",4573075815347654,18015 Mccarthy Garden Suite 514,Port Christophermouth,UT,97615
110,xknapp@example.com,False,BASIC,29.666995182208662,18 Dec 2020,15 Jan 2021,108.03452436763556,"6380 Young Plain Suite 990
East Sara, SD 96288",38747666993482,6380 Young Plain Suite 990,East Sara,SD,96288
111,sandra49@example.org,False,BASIC,7.686548291763083,09 Mar 2020,02 Mar 2020,155.02057778775307,"218 Matthew Crescent
South Matthewhaven, CA 44997",4082294605427,218 Matthew Crescent,South Matthewhaven,CA,44997
112,elizabeth92@example.org,False,BASIC,19.08312770134204,21 Jun 2020,01 Jun 2020,178.71307652973252,"251 Harvey Light Suite 247
Mcdonaldborough, OH 07630",573996450835,251 Harvey Light Suite 247,Mcdonaldborough,OH,07630
113,williamschristina@example.com,False,BASIC,19.119536740760395,21 Dec 2020,,173.2520616960523,"4432 Martinez Rapids
South Mark, WY 02133",4634108819865699,4432 Martinez Rapids,South Mark,WY,02133
114,rodriguezmichael@example.net,True,BASIC,12.338982517098255,27 Jul 2020,10 Aug 2020,133.48606275225092,"9594 Taylor Row Apt. 449
Michaelstad, NM 79524",30081367130477,9594 Taylor Row Apt. 449,Michaelstad,NM,79524
115,ohenderson@example.com,False,BASIC,9.856603051345068,07 May 2020,24 Jun 2020,138.9248247339251,"2170 William Terrace
South Randallfurt, AL 74752",2279381942425087,2170 William Terrace,South Randallfurt,AL,74752
116,isanchez@example.com,False,BASIC,0.0,20 Apr 2020,06 Apr 2020,171.19385320819188,"53754 Mcneil Overpass Suite 622
East Rhonda, KS 03366",4376810967419137393,53754 Mcneil Overpass Suite 622,East Rhonda,KS,03366
117,owensdavid@example.net,True,BASIC,14.4466550267402,26 Sep 2020,26 Aug 2020,147.6114588453033,"50820 Tonya Square
Shafferton, NM 47820",30089791317263,50820 Tonya Square,Shafferton,NM,47820
118,alexanderevans@example.org,True,BASIC,23.60098664120593,21 May 2020,14 May 2020,235.601405758467,"41455 Bean Avenue
Caseyborough, TN 54142",6514757946671725,41455 Bean Avenue,Caseyborough,TN,54142
119,iharper@example.net,False,BASIC,32.6762233034422,12 Jan 2020,30 Dec 2019,126.34718855029716,"81197 Kyle Mountains Apt. 061
Williamstown, UT 92002",3592960442031590,81197 Kyle Mountains Apt. 061,Williamstown,UT,92002
120,smithhenry@example.net,False,BASIC,14.984511297712436,24 Jul 2020,28 Jul 2020,197.50496315221832,"42851 Patty Meadows
West Timothy, CT 95433",30328180973330,42851 Patty Meadows,West Timothy,CT,95433
121,amy62@example.org,True,SUITE,16.77341035010649,07 Sep 2020,08 Aug 2020,211.48549745638144,"770 Stevens Lane Apt. 962
Lake Tammy, VA 54593",3516093866382167,770 Stevens Lane Apt. 962,Lake Tammy,VA,54593
122,amanda10@example.com,False,BASIC,35.788437976330975,27 Jul 2020,23 Jul 2020,175.33837976481152,"4146 Chloe Lights Apt. 197
Margaretland, MO 33055",6011674464126719,4146 Chloe Lights Apt. 197,Margaretland,MO,33055
123,emilycurtis@example.org,False,DELUXE,20.39831599214923,07 Jan 2020,25 Dec 2019,265.0657889530236,"841 Willie Island
Melvinmouth, NM 85244",5346197975577665,841 Willie Island,Melvinmouth,NM,85244
124,hernandeztheresa@example.net,False,BASIC,3.7786701801101374,23 Nov 2020,24 Nov 2020,128.7173005687176,"PSC 2698, Box 9614
APO AP 72971",4840859402789713091,"PSC 2698, Box 9614",APO AP 72971,,
